epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,531.478,0.41385,0.31903,0.53589,0.87163,0.86078,0.92327,0.94733,0.91862,0.86078,0.92327,0.94733,0.93002,0.31271,0.22466,1.20091,0.88063,0.00132148,0.00132148,0.00132148
116,536.058,0.3688,0.31316,0.49202,0.87595,0.23317,0.41667,0.28867,0.16858,0.25651,0.45,0.32926,0.21676,2.02661,7.09742,3.53341,2.21229,0.00132054,0.00132054,0.00132054
117,540.67,0.35158,0.30047,0.48914,0.86541,0.88474,0.98333,0.97238,0.92871,0.88474,0.98333,0.97238,0.93437,0.34601,0.24998,1.14111,0.88189,0.0013196,0.0013196,0.0013196
118,545.267,0.37142,0.31206,0.46685,0.87743,0.85363,0.96667,0.94094,0.91322,0.85363,0.96667,0.94094,0.92977,0.29507,0.22834,1.01491,0.8754,0.00131865,0.00131865,0.00131865
119,549.868,0.38,0.28607,0.4973,0.86719,0.85765,0.96667,0.9645,0.93576,0.85765,0.96667,0.9645,0.93989,0.28799,0.20257,0.94496,0.8589,0.00131771,0.00131771,0.00131771
120,554.461,0.35839,0.30924,0.49022,0.85589,0.85471,0.96667,0.95768,0.93756,0.85471,0.96667,0.95768,0.93536,0.295,0.2576,0.95828,0.84904,0.00131677,0.00131677,0.00131677
121,559.044,0.35246,0.30704,0.45871,0.86302,0.81169,0.99801,0.95935,0.92972,0.81169,0.99801,0.95935,0.9331,0.2884,0.21203,1.11285,0.85289,0.00131582,0.00131582,0.00131582
122,563.643,0.37575,0.30799,0.49161,0.86987,0.85716,0.99351,0.96559,0.93337,0.85716,0.99351,0.96559,0.92605,0.32483,0.23744,0.85016,0.86032,0.00131488,0.00131488,0.00131488
123,568.252,0.35179,0.30188,0.44643,0.86992,0.84636,0.96986,0.96562,0.93644,0.84636,0.96986,0.96562,0.9427,0.29346,0.20283,1.32571,0.85995,0.00131394,0.00131394,0.00131394
124,572.994,0.3811,0.30132,0.47435,0.8824,0.8539,0.9864,0.96577,0.93852,0.8539,0.9864,0.96577,0.9429,0.32367,0.25756,1.00113,0.86851,0.00131299,0.00131299,0.00131299
125,577.696,0.36327,0.31353,0.46334,0.88957,0.85202,0.98991,0.96699,0.93513,0.85202,0.98991,0.96699,0.94915,0.3137,0.2074,0.96288,0.85794,0.00131205,0.00131205,0.00131205
126,582.416,0.37829,0.33139,0.44507,0.87132,0.86333,0.99396,0.96905,0.95906,0.86333,0.99396,0.96905,0.95226,0.26588,0.20755,1.14501,0.83638,0.00131111,0.00131111,0.00131111
127,587.13,0.36276,0.31542,0.44374,0.88042,0.88196,0.98333,0.95953,0.92664,0.88196,0.98333,0.95953,0.93499,0.29467,0.24295,1.00798,0.85789,0.00131016,0.00131016,0.00131016
128,591.736,0.38068,0.32871,0.5016,0.88458,0.78173,0.98333,0.9488,0.90914,0.78173,0.98333,0.9488,0.92081,0.31993,0.22274,1.25149,0.87225,0.00130922,0.00130922,0.00130922
