epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,2899.33,0.21587,0.17201,0.28328,0.84163,0.99165,0.99487,0.99464,0.99416,0.99165,0.99487,0.99464,0.99379,0.09332,0.09729,0.36883,0.59415,0.0095446,0.0095446,0.0095446
71,2940.63,0.21256,0.16411,0.27687,0.83621,0.99719,0.98458,0.99416,0.99293,0.99719,0.98458,0.99416,0.99387,0.0912,0.08977,0.61479,0.59351,0.009538,0.009538,0.009538
72,2982.03,0.21354,0.16159,0.26618,0.84048,0.99765,0.99255,0.99452,0.99353,0.99765,0.99255,0.99452,0.99441,0.08412,0.0926,0.41967,0.59054,0.0095314,0.0095314,0.0095314
73,3023.41,0.21401,0.16848,0.27057,0.8432,0.98649,0.98833,0.99416,0.99227,0.98649,0.98833,0.99416,0.99312,0.08738,0.09091,0.34965,0.59271,0.0095248,0.0095248,0.0095248
74,3064.84,0.20548,0.1573,0.27075,0.83944,0.99469,0.98687,0.99456,0.99417,0.99469,0.98687,0.99456,0.99412,0.08755,0.08784,0.33557,0.59234,0.0095182,0.0095182,0.0095182
75,3106.15,0.21328,0.16482,0.27249,0.84205,0.99511,0.995,0.99431,0.99431,0.99511,0.995,0.99431,0.99428,0.08345,0.08892,1.05165,0.59188,0.0095116,0.0095116,0.0095116
76,3147.54,0.20727,0.1662,0.2739,0.84185,0.99877,0.99402,0.99495,0.99483,0.99877,0.99402,0.99495,0.99467,0.09133,0.09161,0.61238,0.59271,0.009505,0.009505,0.009505
77,3189.14,0.21656,0.16443,0.27808,0.84038,0.999,0.99484,0.99495,0.99441,0.999,0.99484,0.99495,0.99461,0.09037,0.09069,0.4799,0.59727,0.0094984,0.0094984,0.0094984
78,3230.36,0.21,0.16059,0.27599,0.83854,0.99606,0.99173,0.99468,0.99419,0.99606,0.99173,0.99468,0.99429,0.0835,0.09514,0.67939,0.58953,0.0094918,0.0094918,0.0094918
79,3271.76,0.19884,0.16008,0.25917,0.83827,0.99644,0.99462,0.99485,0.99442,0.99644,0.99462,0.99485,0.99464,0.08732,0.09527,0.91516,0.59227,0.0094852,0.0094852,0.0094852
80,3313.12,0.20964,0.16482,0.25955,0.84025,0.99876,0.99471,0.99481,0.99405,0.99876,0.99471,0.99481,0.99458,0.09238,0.09726,0.32308,0.59234,0.0094786,0.0094786,0.0094786
81,3354.56,0.21045,0.15713,0.25955,0.84219,0.99558,0.98765,0.99462,0.99418,0.99558,0.98765,0.99462,0.99453,0.08496,0.08795,0.19772,0.58893,0.009472,0.009472,0.009472
82,3395.97,0.2055,0.17264,0.26837,0.84127,0.99826,0.99468,0.99484,0.99448,0.99826,0.99468,0.99484,0.99464,0.08635,0.08982,0.23356,0.5917,0.0094654,0.0094654,0.0094654
83,3437.31,0.20978,0.16146,0.26695,0.84245,0.99054,0.99167,0.99444,0.99374,0.99054,0.99167,0.99444,0.99431,0.08578,0.08908,0.70138,0.5925,0.0094588,0.0094588,0.0094588
84,3478.69,0.20778,0.16625,0.26059,0.83902,0.99726,0.99167,0.99482,0.99442,0.99726,0.99167,0.99482,0.99474,0.07914,0.08858,0.78646,0.58836,0.0094522,0.0094522,0.0094522
85,3520.1,0.20903,0.16122,0.2732,0.84309,0.99775,0.99667,0.99492,0.99439,0.99775,0.99667,0.99492,0.99411,0.08291,0.08984,0.67557,0.59064,0.0094456,0.0094456,0.0094456
86,3561.53,0.207,0.15878,0.26602,0.84296,0.99556,0.9932,0.99484,0.99466,0.99556,0.9932,0.99484,0.99467,0.0897,0.09169,0.29008,0.59148,0.009439,0.009439,0.009439
87,3602.85,0.2059,0.16142,0.2588,0.83908,0.99406,0.99333,0.99451,0.99385,0.99406,0.99333,0.99451,0.99402,0.08717,0.08936,0.79376,0.58999,0.0094324,0.0094324,0.0094324
88,3644.26,0.2159,0.16062,0.26436,0.83816,0.99444,0.99815,0.99426,0.99353,0.99444,0.99815,0.99426,0.99377,0.09043,0.09516,1.41074,0.59167,0.0094258,0.0094258,0.0094258
89,3685.6,0.21031,0.16363,0.27113,0.84108,0.99021,0.995,0.99433,0.99431,0.99021,0.995,0.99433,0.99395,0.07988,0.08821,0.93878,0.58936,0.0094192,0.0094192,0.0094192
90,3726.93,0.20548,0.16487,0.26321,0.83688,0.99644,0.99291,0.99469,0.9942,0.99644,0.99291,0.99469,0.99467,0.08293,0.09293,0.40157,0.58973,0.0094126,0.0094126,0.0094126
91,3768.21,0.21111,0.158,0.25724,0.84828,0.99678,0.99476,0.99471,0.99404,0.99678,0.99476,0.99471,0.9945,0.08568,0.09236,0.49457,0.59208,0.009406,0.009406,0.009406
92,3809.62,0.2055,0.16212,0.26531,0.83871,0.98892,0.99752,0.99475,0.99428,0.98892,0.99752,0.99475,0.99443,0.07888,0.09144,1.28828,0.58923,0.0093994,0.0093994,0.0093994
93,3850.88,0.20677,0.16753,0.25548,0.83804,0.99602,0.99381,0.99449,0.99446,0.99602,0.99381,0.99449,0.99429,0.08506,0.09279,0.81049,0.59253,0.0093928,0.0093928,0.0093928
94,3892.05,0.20372,0.16398,0.26866,0.83588,0.99671,0.99607,0.99492,0.9944,0.99671,0.99607,0.99492,0.99481,0.08282,0.0894,0.7161,0.58963,0.0093862,0.0093862,0.0093862
95,3933.41,0.20771,0.16299,0.25072,0.83686,0.99764,0.99333,0.99471,0.99469,0.99764,0.99333,0.99471,0.99447,0.07526,0.08973,0.48881,0.58792,0.0093796,0.0093796,0.0093796
96,3974.84,0.20195,0.15888,0.2586,0.83586,0.99348,0.99359,0.99482,0.99439,0.99348,0.99359,0.99482,0.99476,0.07911,0.09005,0.58013,0.58999,0.009373,0.009373,0.009373
97,4016.23,0.20184,0.15634,0.25045,0.83656,0.99515,0.99667,0.99484,0.99421,0.99515,0.99667,0.99484,0.99477,0.08261,0.08869,0.32734,0.58962,0.0093664,0.0093664,0.0093664
98,4057.6,0.20074,0.15807,0.25167,0.83504,0.99816,0.98819,0.99474,0.99445,0.99816,0.98819,0.99474,0.99465,0.08044,0.09049,0.33801,0.58777,0.0093598,0.0093598,0.0093598
99,4098.99,0.19924,0.15985,0.25292,0.83515,0.99471,0.99167,0.99452,0.9945,0.99471,0.99167,0.99452,0.99428,0.07754,0.09097,0.81848,0.58769,0.0093532,0.0093532,0.0093532
100,4140.37,0.20401,0.1645,0.25052,0.84313,0.99874,0.99481,0.99495,0.99479,0.99874,0.99481,0.99495,0.99472,0.07681,0.09055,0.55314,0.58944,0.0093466,0.0093466,0.0093466
101,4181.64,0.19586,0.15751,0.2515,0.83446,0.99671,0.99402,0.9949,0.99472,0.99671,0.99402,0.9949,0.99463,0.07719,0.093,0.42329,0.58915,0.00934,0.00934,0.00934
